No,Text,Score,Sistem,Sentimen
1,psbb tidak ya tunggu mau lebaran aku saja masih sibuk kuliah,1,positif,netral
2,tonton berita langgar psbb mudik ngeyel,-3,negatif,negatif
3,korona tidak akan hilang kalau tidak lockdown orang jangan sampai keluar rumah terus bagaimana kehidupan negara wajib mengurus sih,0,netral,negatif
4,psbb tidak efektif collect data tidak efektif ujung ujungnya memilih jalan herd immunity sekarang malah naikin iuran bpjs,-5,negatif,negatif
5,psbb kota palembang dan prabumulih diterapkan pada idul fitri,0,netral,netral
6,maaf sedang psbb,0,netral,netral
7,warga langgar psbb bisa disanksi jadi tukang bersih bersih hingga denda,0,netral,netral
8,dukung psbb politisi beri bantuan apd ke polresta,0,netral,positif
9,psbb tidak efektif,-1,negatif,negatif
10,achmad yurianto penanggulangan pandemi covid yang sudah lebih bulan kita bersama tangani tahapan sekarang,0,netral,netral
11,psbb tapi transportasi dibiarkan beroperasi sama saja seperti aku berusaha menyayangi dia tapi dia menyayangi yang lain,2,positif,netral
12,psbb di palangkaraya raya mengapa kamu kembali lagi semakin banyak orang berkumpul ada,0,netral,netral
13,psbb katanya tapi di jalan ramai sekali,-2,negatif,negatif
14,apa apa perpanjang psbb mulu,0,netral,netral
15,ayo jalan aku sudah di depan rumahmu tidak kecuali psbb maksudnya baru berangkat aduh,-2,negatif,netral
16,sementara itu bila berjalan dengan baik maka diprediksi penambahan kasus positif bisa menurun juni ini,0,netral,positif
17,bentuk komitmen bersama kita pada pelaksanaan psbb berbagai macam aktivitas,0,netral,positif
18,cicak saja pusing saking serangga pada ikutan psbb juga,-1,negatif,negatif
19,psbb kok masih ada puncak arus mudik,1,positif,negatif
20,hari ini pertama kali naik kasus baru positif covid sudahlah yang positif covid melonjak naik penguasa sama,2,positif,negatif
21,psbb ditilang kamu ya ingat itu,0,netral,netral
22,esensi psbb untuk kurangi kerumunan orang dedi mulyadi kalau toko ditutup kenapa pasar masih dibuka,-1,negatif,negatif
23,pemerintah kota depok akhirnya resmi memberlakukan massa perpanjangan psbb sampai dengan hari kedepan,-2,negatif,netral
24,ini juga lucu sekali astaga tapi mohon maaf lagi psbb begini agak tidak berguna ya beli sepatu tidak bisa dipakai,0,positif,negatif
25,salah satu bukti kelengahan pemerintah dalam mengawasi psbb di lapangan salah satu bukti manusia yang mementingkan ego,2,positif,negatif
26,melihat situasi terkini di kotaku aku jadi paham kepanjangan psbb padang sabana bar bar,-1,negatif,netral
27,keadaan negara ini sebenarnya bagaimana sih mau keluar takut tidak keluar bosan katanya psbb tapi tidak jelas sekali pengin balik ke jogja,0,netral,negatif
28,jelang berbuka puasa masjid al akbar di surabaya jawa timur punya cara unik untuk mengisi kegiatan bulan ramadhan,0,netral,positif
29,hari rabu tanggal mei hari ke psbb di jalan mutiara situasinya sangat sepi karena hujan baru saja reda,-1,negatif,netral
30,mantap pak presiden ditengah pandemi covid ini bukan nya mengatur atau memaksimalkan psbb,-1,negatif,negatif
31,siapa di antara kalian yang merasai begini juga pas lagi psbb ayo mengaku kalau admin sih tidak termasuk ya karena,0,netral,netral
32,jangankan cikupadari poris ke kebon besar macet anjir gara gara psbb,-1,negatif,negatif
33,saat harga minyak dunia naik bbm ikut naik minyak dunia turun bbm ogah turun saat negara lain batasi penerbangan,-2,negatif,negatif
34,dari sampai sampai sekarang puasa tidak undangannya bukber nya banyak kalau tidak psbb sudah tidak dirumah ini tiap malam,-1,negatif,netral
35,satpol pp jakarta pusat hari ini mulai memberikan sanksi sosial kepada warga yang melanggar kebijakan psbb,0,positif,netral
36,pelanggar psbb di sidoarjo bakal disanksi makamkan pasien covid,1,positif,netral
37,ada yang update di jalan macet caption psbb situ juga bikin macet,-3,negatif,negatif
38,kondisi seperti ini mau longgarkan psbb,0,netral,netral
39,arahan presiden ri terkait pelaksanaan psbb di berbagai daerah di indonesia mari kita disiplin diri tetap di rumah,-1,negatif,positif
40,psbb politisi bebas bacot,-1,negatif,negatif
41,yang lagi hype sekali di indonesia selain corona psbb dkk inkonsistensi yang paling baru iuran bpjs ,-1,negatif,netral
42,pertama kali tvc dibuat secara online mematuhi psbb duh jadi kangen ketemuan sama saudara dan teman teman tidak,0,netral,netral
43,pada tidak dapat uang jajan saya tetap dapat seminggu giliran ada duit psbb,1,positif,positif
44,tekan covid bali tanpa psbb kenapa bali bisa menekan penyebaran covid padahal bali daerah pariwisata karena masyarakat,-1,negatif,netral
45,tapi jogja belum psbb ternyata,0,netral,netral
46,tidak apa apa lagi psbb begini semua lahan job diembat sama dia,0,netral,negatif
47,dedi mulyadi menyatakan psbb hanya cocok diterapkan di perkotaan,1,positif,positif
48,sejumlah pihak meminta pemerintah tidak buru buru melonggarkan psbb selain jumlah kasus baru masih berfluktuasi ada,0,netral,positif
49,tanpa psbb presiden jokowi meminta daerah lain ikuti bali tangani covid,0,netral,positif
50,masih mas sini ke bali tidak ada psbb,0,netral,netral
51,kamu yang gabut selama masa psbb admin menyarankan gabung ke acara ini ya biar tambah wawasan dan ide segarmu,1,positif,netral
52,duren saya baru sampai lampung terima kasih psbb berkat kamu perjalanan jakarta lampung yang tadinya cuma jam,1,positif,positif
53,semoga cepat berlalu tapi ah sudahlah psbb tiada arti,1,positif,negatif
54,wacana relaksasi psbb kayaknya harus dipercepat,1,positif,netral
55,sudah jelas aturannya psbb peraturan selalu berubah berubah,-2,negatif,negatif
56,walaupun saat ini dki jakarta sedang psbb dan harus pakai masker namun untuk pembayaran zakat fitrah tidak boleh lewat,0,positif,positif
57,disiplin terapkan psbb,0,netral,positif
58,tak berlakukan psbb pemerintah bali beberkan kunci rahasia bisa menang lawan virus corona apa itu,-1,negatif,netral
59,tanpa terapkan psbb bali bisa kendalikan virus corona dengan kearifan lokal,0,negatif,netral
60,tidak ada psbb di cibubur,0,netral,netral
61,situasi arus lalu lintas di bundaran waru terpantau sedikit antrian pada point pengecekan psbb,0,netral,netral
62,pelonggaran psbb sama bahayanya seperti melakukan pelanggaran,-1,negatif,negatif
63,karena jalur darat bakal susah kalau daerah yang dilewatin pakai psbb berarti skenario terburuk kudu naik pesawat,-3,negatif,negatif
64,ini pertimbangan ekonomi pemerintah pusat karena tak mampu membiayai rakyat selama psbb membiayai penanganan covid,2,positif,negatif
65,sebenarnya ini irrelevant dengan bahasan awal as usual but ok kembali ke cost effectiveness direct cost dari,0,netral,positif
66,masih psbb,0,netral,netral
67,psbb social distancing digencarkan proyek dijalankan iuran dinaikan apalagi nih habis ini,-3,negatif,negatif
68,lagi psbb sosial distancing,0,positif,positif
69,psbb pengangguran sudah bertambah banyak,0,netral,negatif
70,masih psbb kak,0,netral,netral
71,kelar psbb langsung mantai katanya itu kalau masih ingat sama janjinya,1,positif,netral
72,psbb pekerja sudah bokek berat,-1,negatif,negatif
73,berani berkerumun di tengah psbb kota bogor siap siap didenda,2,positif,netral
74,hampir semua daerah kebingungan dengan inkonsistensi informasi yang dilakukan pemerintah pusat,-4,negatif,negatif
75,tidak tau lama sekali kelarnya psbb,0,netral,netral
76,psbb tidak jelas,0,netral,negatif
77,pelanggar psbb melawan petugas bisa dijerat pasal kuhp,-2,negatif,netral
78,psbb pemerintah sudah bingung sekali,-1,negatif,negatif
79,pdp odp sama yang positif masih bertambah terus psbb mau di longgarin,1,positif,negatif
80,ini ada pengajian di saat psbb tidak mau dibubarin,0,netral,negatif
81,sudah dari kemarin zona merah tapi harus disetujui kemarin sekarang tidak mengetahui kapan psbb nya berlangsung,0,netral,negatif
82,ini my opinion psbb tidak efektif lagi,-1,negatif,negatif
83,psbb vs ppdb,0,netral,netral
84,psbb diperpanjang dua terminal di surabaya tidak layani angkutan akap dan akdp,0,netral,netral
85,tidak kak lagi psbb,0,netral,netral
86,jangan ditiru kak itu karena tidak ada piring besar yang datar begitu mau keluar mencari lagi psbb,-1,negatif,netral
87,ada tidak ada psbb sama saja tidak berefek katanya mau dilonggarkan apakah memang pemerintah ngejar herd immunity,-2,negatif,negatif
88,tidak boleh kak lagi psbb,0,positif,netral
89,petugas memberikan hukuman pada pelanggar aturan psbb jakarta dengan membersihkan fasilitas umum,1,positif,netral
90,bamsoet meminta pemerintah pusat pemda koordinasi soal relaksasi psbb,0,netral,netral
91,mau terapkan psbb kapan meminta pemprov riau pastikan ada bantuan untuk warga,0,netral,positif
92,psbb anda mau lagi bukber tiba tiba digrebek,0,netral,netral
93,jateng ikuti pemerintah pusat terkait psbb seluruh jawa,0,netral,netral
94,koalisi masyarakat sipil mengkritik putusan pengadilan terhadap sejumlah pelanggar pembatasan sosial berskala besar,-3,negatif,negatif
95,tempat cukuran pada tutup selama psbb yaudah bikin seperti begini saja rambut ini,0,netral,negatif
96,pemprov sumbar akan siapkan sanksi tegas bagi pelanggar psbb,1,positif,netral
97,lagi psbb mana buka sekolah,0,netral,netral
98,tanpa psbb presiden jokowi meminta daerah lain ikuti bali tangani covid,0,netral,positif
99,palembang dari kemarin belum psbb,0,netral,netral
100,warga kurang hiburan selama psbb,-1,negatif,negatif
101,memang anda kira saya apaan dibelenggu mhon maaf malaikat maut tidak kena jalur psbb,1,positif,netral
102,balonnya lagi psbb kak,0,netral,netral
103,psbb berdampak ke saya selama bulan puasa saya tidak puasa,0,netral,negatif
104,ada alasan mengapa pelonggaran psbb itu ide gila,-1,negatif,negatif
105,tumbangnya ke produktif duluan setahun lagi saya psbb sudah jadi caveman ini,-1,negatif,negatif
106,pelanggar pembatasan sosial berskala besar psbb di kota depok jawa barat akan dikenakan sanksi denda,0,positif,netral
107,siapa yang masih keluyuran  tolonglah sama sama tertib aturan semua juga sama inginnya keluar,0,netral,positif
108,psbb buat emosi nih batal puasa saya,-1,negatif,negatif
109,menkes psbb kota prabumulih bisa segera diterapkan,0,netral,positif
110,negara tak mampu apbn apbd takkan cukup bantuan sosial psbb secara berkepanjangan sementara jika dipaksakan,-1,netral,negatif
111,palembang sudah mau psbb juga,0,netral,positif
112,tanpa terapkan psbb bali bisa kendalikan virus corona dengan kearifan lokal,0,negatif,positif
113,mulai tanggal april diberlakukan pembatasan sosial berskala besar psbb arah masuk dan keluar jakarta,0,positif,netral
114,tak berlakukan psbb pemerintah bali beberkan kunci rahasia bisa menang lawan virus corona apa itu,-1,negatif,positif
115,ada dua kesimpulan mengapa psbb akan dilonggarkan pertama karena alasan ekonomi dan yang kedua karena kesulitan,1,positif,negatif
116,kan psbb tidak bisa bekerja,0,netral,negatif
117,masa psbb mulai kapan astaga,0,netral,netral
118,psbb peraturan suka berubah berubah,-2,negatif,negatif
119,proses panggilan pertama alasan psbb proses panggilan kedua meminta di periksa di rumah meminta di jemput terus,0,netral,netral
120,masih psbb jangan keluar dulu,0,netral,netral
121,aku mau sudah tak sabar jenuh sekali sama psbb becandaan ini lebih jenuh,-2,negatif,negatif
122,wfh tapi banyak kepentingan di kantor lagipula industri saya masuk pengecualian psbb,0,netral,netral
123,musim corona itu harusnya ada di dalam rumah kalau tidak penting sekali kecuali penting baru keluar,-1,negatif,positif
124,psbb ditargetkan segera berakhir tapi pubb baru berlangsung pubb pembatasan uang bersekala besar,0,positif,negatif
125,wfh sudah psbb social physical distancing larangan mudik dsb juga sudah tapi kenapa tiap hari masih bertambah ya,-1,netral,negatif
126,coba tunjukkan ke saya negara mana yang dengan psbb berhasil atasi covid,0,netral,netral
127,pengaduan pelanggaran psbb kemana,0,netral,netral
128,setelah psbb selesai dan covid menghilang sepertinya akan banyak keributan gara gara ulah pemerintah semoga saja tidak semakin parah,-2,negatif,negatif
129,langgar psbb di jakarta siap siap kena sanksi berikut,1,positif,netral
130,kebijakan wfh dan psbb membuat jumlah kendaraan yang melaju di jalan jalan di jakarta semakin berkurang,-2,negatif,positif
131,sampai kapan tidak beroperasinya banyak penumpukan di dalam bis dan di halte tosari,0,netral,negatif
132,menit lagi psbb wilayah gorontalo akan dilakukan semangat buat para pedagang yang masih sibuk belanja tidak usah tergesa gesa,0,netral,positif
133,dari keluarnya peraturan tentang perubahan libur lebaran sudah jelas kelihatan psbb bakal diperpanjang,-1,negatif,netral
134,sudah saatnya longgarkan psbb anak anak muda silakan berkeliaran lagi kalian,1,positif,negatif
135,psbb pembatasan sosial basa basi,-1,netral,negatif
136,psbb di pelalawan akan diberlakukan mei,0,netral,positif
137,dalam seminggu terakhir lumayan banyak belanja online coba dengan berbagai ekspedisi ekspedisi di tengah psbb,0,positif,positif
138,usulan pemprov laksanakan psbb daerah di riau disetujui menkes,0,netral,positif
139,satgas covid klaim persen psbb berhasil,1,netral,positif
140,protes warga warnai hari kedua psbb di palangkaraya,-1,negatif,negatif
141,di daerah bahkan sudah dalam psbb dll sampai penangkapan dan disemprot dengan truk pemadam,0,netral,positif
142,bikin paspor lagi psbb begini bisa tidak,0,netral,netral
143,cilegon tidak ada psbb tapi sudah mulai ramai lagi tidak seperti awal awal tidak berpengaruh,0,netral,negatif
144,mau tanya dong bikin paspor lagi psbb itu bisa tidak sih,0,netral,netral
145,masih ada daerah yang laju penambahan coronanya meningkat meski terapkan psbb,0,netral,negatif
146,semoga nanti karena psbb covidnya mabur ya,0,netral,positif
147,psbb dilonggarkan sebelum waktunya bpjs naik lagi fpi dikasih kuota unlimited untuk berkeliaran bertahun tahun,-1,negatif,negatif
148,cilegon belum selesai psbb,0,negatif,netral
149,psbb saja tidak ditanggapi serius sama warga masih banyak yang tetap keluyuran dan berkumpul bersama,-2,negatif,negatif
150,psbb tapi tetap kerja,0,netral,netral
151,pelonggaran psbb pagar beton di kota tegal dibuka lusa,0,netral,positif
152,psbb pembatasan sosial bikin bingung,-1,netral,negatif
153,sikapi psbb tahap dua ketua dprd jatim meminta jangan ada lagi saling beda persepsi antar kepala daerah via,-1,negatif,netral
154,lihat postingan ini jokowi bingung sudah psbb tapi yang positif korona makin bertambah sudah jelas bahwa psbb tidak efektif,-1,negatif,negatif
155,kita jaga diri masih saja kalau psbb dilonggarkan tapi kita masih bisa di rumah di rumah saja,-2,negatif,positif
156,mau tanya ke siapa lagi kenapa psbb covid yang dilumpuhkan itu hanya titik tertentu,-1,negatif,negatif
157,saat pemberlakuan psbb terbukti tidak efektif karena pelanggarannya dimanamana saat akan dibebaskan bersyarat,0,netral,negatif
158,psbb tepat dipatuhi,0,netral,positif
159,masyarakat diimbau saling menjaga antartetangga di masa pandemi,-1,negatif,positif
160,psbb diperpanjang,0,netral,netral
161,petugas satpol pp jakarta timur menggelar razia psbb di kawasan jakarta timur razia digelar disepanjang jalan raya,-1,negatif,netral
162,sudahlah lempar handuk karena yang kalah jadi abu dan yang menang jadi arang pemerintah harusnya terus terang mendanai psbb,3,positif,negatif
163,kenapa tidak dipikir dulu soal regulasi bagaimana penerapannya untuk psbb,0,netral,negatif
164,kacau psbb itu,-1,negatif,negatif
165,pemkot bogor menerbitkan aturan denda dan sanksi sosial terhadap warga dan korporasi yang melanggar aturan psbb,-1,netral,netral
166,psbb selesai tanggal tapi kok yang positif tidak berkurang seram,-1,negatif,negatif
167,sekalian dikuburin biar tidak nanggung beban gabut selama psbb,-1,negatif,netral
168,seketika panik psbb dihentikan,-2,negatif,negatif
169,ini pemerintah kenapa sih plin plan sekali belum jalan satu bulan psbb loh astagfirullah,-2,negatif,negatif
170,jika positif covid pelanggar psbb di kota tangerang diisolasi paksa,0,netral,netral
171,psbb bodoh sekolah libur,-1,negatif,negatif
172,banyak aturan diterapkan selama psbb,0,netral,netral
173,untung otak tidak psbb juga,0,netral,positif
174,semoga corona tuntas di akhir mei biar ekonomi berjalan lagi atau psbb dicabut dengan psbb kasus tetap tambah terus ada yang setuju,-2,negatif,positif
175,disini baru mulai psbb karena ada anak pesantren dari zona merah pulang,0,netral,netral
176,tolong jangan masyarakatnya yang di psbb tolong otaknya pelayan rakyat di psbb biar tidak asal keluar sah ketok palu,-1,negatif,negatif
177,siap pelonggaran psbb pemerintah sudah tahu bakal ada lonjakan penderita yang lebih tinggi,0,netral,negatif
178,benarnya banyak sekali tempat yang tidak mematuhi peraturan dasar jaga jarak banyak sekali apalagi berdempet,-1,negatif,negatif
179,yang punya adik di rumah entar kelar psbb dan wfh auto jadi sarjana pendidikan gadungan,-2,negatif,netral
180,tidak boleh berkumpul masih psbb,0,positif,netral
181,pelanggar psbb dki silakan pilih sanksi bayar rp juta atau jadi pasukan oranye,0,netral,netral
182,wakil ketua dprd riau zukri suka psbb keluar pastikan rakyat segera terima blt dan sembako,1,positif,positif
183,rabu mei psbb hari ketiga masih di sekitaran jl seth adji hari ini tidak seramai hari selasa mungkin karena psbb,0,netral,positif
184,psbb tak berarti hentikan perekonomian,-1,negatif,positif
185,bagaimana kalau kita hilangkan quarantine hilangkan psbb dan biarkan semuanya berlalu,0,netral,negatif
186,blt kemensos cair lewat pos suhatri bur ingatkan prinsip psbb,0,netral,netral
187,kesal sekali saya melihat orang update instastory foto jalanan yang macet dari dalam mobil,-3,negatif,negatif
188,psbb perbanyak sholawat biar berkah,0,netral,positif
189,lagi psbb jadi di rumah saja,-1,negatif,netral
190,ada daerah yang penambahan kasusnya tidak mengalami perubahan seperti sebelum psbb ini juga hal hal seperti ini,-1,negatif,netral
191,mengenai tren penambahan kasus jokowi mengakui ada daerah yang masih belum mengalami perubahan setelah menerapkan psbb,-1,negatif,negatif
